股票代码,股票名称,交易日期,交易类型,交易价格,交易数量,交易金额,手续费,印花税,交易费用合计,净收益
513030,德国ETF,20250506,证券卖出,1.82,-1000,1820,0,0,0,-5
601985,中国核电,20250507,证券卖出,9.31,-500,4655,0,0,0,-7.38
600900,长江电力,20250508,证券买入,29.36,1000,29360,0,0,0,0
09988,阿里巴巴－Ｗ,20250508,证券卖出,122.7,-200,22806.01,1.96,0,1.96,-40.72
09988,阿里巴巴－Ｗ,20250509,证券卖出,126.4,-100,11764.94,1,0,1,-22.02
600900,长江电力,20250509,证券卖出,29.69,-500,14845,0,0,0,-12.57
06186,中国飞鹤,20250512,证券买入,5.8,1000,5400.43,0.48,0,0.48,-0.48
518850,黄金ETF华夏,20250512,证券买入,7.435,1000,7435,0,0,0,0
600900,长江电力,20250512,证券卖出,29.62,-300,8886,0,0,0,-9.53
159992,创新药ETF,20250512,证券买入,0.718,7700,5528.6,0,0,0,0
518850,黄金ETF华夏,20250513,证券买入,7.27,1000,7270,0,0,0,0
600900,长江电力,20250513,证券卖出,29.66,-200,5932,0,0,0,-8.03
159992,创新药ETF,20250514,证券买入,0.73,10000,7300,0,0,0,0
518850,黄金ETF华夏,20250515,证券买入,7.13,1000,7130,0,0,0,0
09988,阿里巴巴－Ｗ,20250520,证券买入,122.6,200,22638.09,1.94,0,1.94,-1.94
518850,黄金ETF华夏,20250520,证券买入,7.243,500,3621.5,0,0,0,0
518850,黄金ETF华夏,20250521,证券买入,7.461,500,3730.5,0,0,0,0
159992,创新药ETF,20250521,证券卖出,0.766,-5000,3830,0,0,0,-5
518850,黄金ETF华夏,20250522,证券卖出,7.527,-2000,15054,0,0,0,-5
513030,德国ETF,20250523,证券买入,1.875,6900,12937.5,0,0,0,0
159636,港股通科技30ETF,20250526,证券买入,1.26,3100,3906,0,0,0,0
513030,德国ETF,20250526,证券卖出,1.886,-2500,4715,0,0,0,-5
601985,中国核电,20250527,证券买入,9.72,1000,9720,0,0,0,0
513030,德国ETF,20250527,证券卖出,1.876,-2500,4690,0,0,0,-5
09988,阿里巴巴－Ｗ,20250527,证券买入,117.8,100,10846.08,0.94,0,0.94,-0.94
560850,信创50ETF,20250528,证券买入,1.22,5200,6344,0,0,0,0
518850,黄金ETF华夏,20250528,证券卖出,7.4,-1000,7400,0,0,0,-5
518850,黄金ETF华夏,20250529,证券买入,7.322,1000,7322,0,0,0,0
159992,创新药ETF,20250529,证券卖出,0.785,-5000,3925,0,0,0,-5
159659,纳斯达克100ETF,20250529,证券卖出,1.686,-100,168.6,0,0,0,-5
159699,恒生消费ETF,20250529,证券卖出,1.032,-2400,2476.8,0,0,0,-5
600900,长江电力,20250530,证券买入,30.38,500,15190,0,0,0,0
518850,黄金ETF华夏,20250530,证券卖出,7.403,-1000,7403,0,0,0,-5
601985,中国核电,20250530,证券买入,9.5,1000,9500,0,0,0,0
159992,创新药ETF,20250530,证券买入,0.79,5000,3950,0,0,0,0
06186,中国飞鹤,20250603,证券买入,6.2,1000,5685.77,0.5,0,0.5,-0.5
560850,信创50ETF,20250603,证券买入,1.26,4800,6048,0,0,0,0
600900,长江电力,20250603,证券卖出,29.88,-200,5976,0,0,0,-8.05
601985,中国核电,20250603,证券卖出,9.5,-1000,9500,0,0,0,-9.87
09988,阿里巴巴－Ｗ,20250605,证券卖出,113.5,-200,20863.57,1.78,0,1.78,-37.26
06186,中国飞鹤,20250605,证券卖出,5.79,-2000,10643.18,0.92,0,0.92,-20.16
513030,德国ETF,20250605,证券买入,1.89,5000,9450,0,0,0,0
159699,恒生消费ETF,20250605,证券买入,1.027,7600,7805.2,0,0,0,0
159992,创新药ETF,20250605,证券卖出,0.796,-10000,7960,0,0,0,-5
518850,黄金ETF华夏,20250606,证券卖出,7.515,-500,3757.5,0,0,0,-5
600900,长江电力,20250606,证券买入,29.99,200,5998,0,0,0,0
560850,信创50ETF,20250606,证券买入,1.284,10000,12840,0,0,0,0
513030,德国ETF,20250609,证券卖出,1.885,-5000,9425.01,0,0,0,-5
159992,创新药ETF,20250609,证券卖出,0.815,-5000,4075,0,0,0,-5
513030,德国ETF,20250610,证券卖出,1.88,-5000,9400,0,0,0,-5
159699,恒生消费ETF,20250611,证券卖出,1.045,-2500,2612.5,0,0,0,-5
518850,黄金ETF华夏,20250611,证券卖出,7.47,-500,3735,0,0,0,-5
159636,港股通科技30ETF,20250611,证券卖出,1.33,-2500,3325,0,0,0,-5
600900,长江电力,20250611,证券卖出,30.21,-200,6042,0,0,0,-8.08
159659,纳斯达克100ETF,20250612,证券卖出,1.683,-200,336.6,0,0,0,-5
601985,中国核电,20250612,证券卖出,9.32,-1000,9320,0,0,0,-9.75
601985,中国核电,20250612,证券卖出,9.29,-1000,9290,0,0,0,-9.74
159699,恒生消费ETF,20250612,证券卖出,1.044,-7500,7830,0,0,0,-5
600900,长江电力,20250612,证券买入,30.18,200,6036,0,0,0,0
